id,card_name,card_type,provider,annual_fee_domestic,annual_fee_global,image_url
1,신한카드 Simple Plan+,신용,신한카드,47000,50000,https://www.shinhancard.com/pconts/static/images/card/plate/POHDXD_G4_v_f_d.webp
2,배민 신한카드 밥친구,신용,신한카드,12000,15000,https://www.shinhancard.com/pconts/static/images/card/plate/BOADUF_E5_v_f_d.webp
3,LG전자 The 구독케어 신한카드,신용,신한카드,22000,25000,https://www.shinhancard.com/pconts/static/images/card/plate/BOADT2_E5_v_f_d.webp
4,신한카드 Discount Plan,신용,신한카드,15000,15000,https://www.shinhancard.com/pconts/static/images/card/plate/PODDR1_E5_v_f_d.webp
5,신한카드 Discount Plan+,신용,신한카드,50000,50000,https://www.shinhancard.com/pconts/static/images/card/plate/POEDR2_E5_v_f_d.webp
6,신한카드 처음 (ANNIVERSE),신용,신한카드,15000,18000,https://www.shinhancard.com/pconts/static/images/card/plate/BSCDNG_E5_v_f_d.webp
7,신한카드 처음,신용,신한카드,15000,18000,https://www.shinhancard.com/pconts/static/images/card/plate/BSCDJK_E5_v_f_d.webp
8,알리익스프레스 신한카드,신용,신한카드,16000,19000,https://www.shinhancard.com/pconts/static/images/card/plate/BOADP9_E5_v_f_d.webp
9,신한카드 Point Plan+,신용,신한카드,30000,33000,https://www.shinhancard.com/pconts/static/images/card/plate/POCDMG_E5_v_f_d.webp
10,신한카드 Edu Plan+,신용,신한카드,40000,43000,https://www.shinhancard.com/pconts/static/images/card/plate/BDBDMA_E5_v_f_d.webp
11,신한카드 SOL트래블,신용,신한카드,27000,30000,https://www.shinhancard.com/pconts/static/images/card/plate/BUCDKH_E5_v_f_d.webp
12,신한카드 Point Plan,신용,신한카드,20000,23000,https://www.shinhancard.com/pconts/static/images/card/plate/POADHL_E5_v_f_d.webp
13,K-패스 신한카드,신용,신한카드,7000,10000,https://www.shinhancard.com/pconts/static/images/card/plate/BOADG4_E5_v_f_d.webp
14,싱가포르항공 크리스플라이어 더 베스트 신한카드,신용,신한카드,247000,250000,https://www.shinhancard.com/pconts/static/images/card/plate/BFCD61_S5_v_f_d.webp
