stock_code,stock_name
196170,알테오젠
086520,에코프로
247540,에코프로비엠
036930,주성엔지니어링
240810,원익IPS
028300,HLB
058470,리노공업
039030,이오테크닉스
087010,펩트론
277810,레인보우로보틱스
403870,HPSP
298380,에이비엘바이오
108490,로보티즈
178320,서진시스템
000250,삼천당제약
141080,리가켐바이오
319660,피에스케이
222800,심텍
080220,제주반도체
347850,디앤디파마텍
032820,우리기술
084370,유진테크
067310,하나마이크론
095340,ISC
319400,현대무벡스
089970,브이엠
095610,테스
310210,보로노이
131970,두산테스나
098460,고영
214450,파마리서치
005290,동진쎄미켐
226950,올릭스
357780,솔브레인
089030,테크윙
083650,비에이치아이
007390,네이처셀
064760,티씨케이
263750,펄어비스
237690,에스티팜
140860,파크시스템스
131290,티에스이
035900,JYP Ent.
043260,성호전자
290650,엘앤씨바이오
183300,코미코
090710,휴림로봇
145020,휴젤
078600,대주전자재료
039200,오스코텍
218410,RFHIC
058610,에스피지
082920,비츠로셀
214150,클래시스
030530,원익홀딩스
257720,실리콘투
475830,오름테라퓨틱
214370,케어젠
323280,태성
041510,에스엠
031980,피에스케이홀딩스
101490,에스앤에스텍
445680,큐리옥스바이오시스템즈
328130,루닛
096530,씨젠
068760,셀트리온제약
189300,인텔리안테크
295310,에이치브이엠
032500,케이엠더블유
085660,차바이오텍
099320,쎄트렉아이
137400,피엔티
124500,아이티센글로벌
048410,현대바이오
466100,클로봇
166090,하나머티리얼즈
0009K0,에임드바이오
065350,신성델타테크
420770,기가비스
358570,지아이이노베이션
161580,필옵틱스
090360,로보스타
100790,미래에셋벤처투자
348370,엔켐
050890,쏠리드
074600,원익QnC
122870,와이지엔터테인먼트
417200,LS머트리얼즈
232140,와이씨
437730,삼현
281740,레이크머티리얼즈
195940,HK이노엔
222080,씨아이에스
033100,제룡전기
036540,SFA반도체
036810,에프에스티
121600,나노신소재
388720,유일로보틱스
014620,성광벤드
213420,덕산네오룩스
060370,LS마린솔루션
348210,넥스틴
003380,하림지주
035760,CJ ENM
082270,젬백스
038500,삼표시멘트
052400,코나아이
241710,코스메카코리아
171090,선익시스템
067160,SOOP
056080,유진로봇
399720,가온칩스
025320,시노펙스
006730,서부T&D
042000,카페24
214430,아이쓰리시스템
272290,이녹스첨단소재
112040,위메이드
056190,에스에프에이
293490,카카오게임즈
253450,스튜디오드래곤
033500,동성화인텍
060250,NHN KCP
025980,아난티
015750,성우하이텍
060280,큐렉소
204270,제이앤티씨
009520,포스코엠텍
030520,한글과컴퓨터
125490,한라캐스트
036620,감성코퍼레이션
053800,안랩
278280,천보
041190,우리기술투자
376300,디어유
253590,네오셈
018290,브이티
211050,인카금융서비스
032190,다우데이타
215200,메가스터디교육
036830,솔브레인홀딩스
095660,네오위즈
225570,넥슨게임즈
069080,웹젠
078340,컴투스
251970,펌텍코리아
194480,데브시스터즈
025900,동화기업
101730,위메이드맥스
352480,씨앤씨인터내셔널
