stock_code,idx
SPY,US_ETF
VOO,US_ETF
IVV,US_ETF
QQQ,US_ETF
QQQM,US_ETF
VTI,US_ETF
ITOT,US_ETF
DIA,US_ETF
IWM,US_ETF
VEA,US_ETF
VWO,US_ETF
VXUS,US_ETF
EFA,US_ETF
EEM,US_ETF
XLK,US_ETF
XLF,US_ETF
XLE,US_ETF
XLV,US_ETF
XLY,US_ETF
XLI,US_ETF
XLP,US_ETF
XLU,US_ETF
XLB,US_ETF
XLRE,US_ETF
XLC,US_ETF
SMH,US_ETF
SOXX,US_ETF
VGT,US_ETF
BND,US_ETF
AGG,US_ETF
TLT,US_ETF
LQD,US_ETF
HYG,US_ETF
SHY,US_ETF
TIP,US_ETF
SCHD,US_ETF
VYM,US_ETF
DVY,US_ETF
JEPI,US_ETF
JEPQ,US_ETF
VUG,US_ETF
VTV,US_ETF
ARKK,US_ETF
GLD,US_ETF
SLV,US_ETF
VNQ,US_ETF
VIG,US_ETF
MOAT,US_ETF
