stock_code,idx
NVDA,NASDAQ100
AAPL,NASDAQ100
MU,NASDAQ100
MSFT,NASDAQ100
AMZN,NASDAQ100
AMD,NASDAQ100
GOOGL,NASDAQ100
TSLA,NASDAQ100
GOOG,NASDAQ100
AVGO,NASDAQ100
META,NASDAQ100
WMT,NASDAQ100
INTC,NASDAQ100
CSCO,NASDAQ100
LRCX,NASDAQ100
AMAT,NASDAQ100
COST,NASDAQ100
NFLX,NASDAQ100
KLAC,NASDAQ100
PLTR,NASDAQ100
SNDK,NASDAQ100
TXN,NASDAQ100
MRVL,NASDAQ100
LIN,NASDAQ100
PANW,NASDAQ100
QCOM,NASDAQ100
TMUS,NASDAQ100
ADI,NASDAQ100
PEP,NASDAQ100
AMGN,NASDAQ100
STX,NASDAQ100
WDC,NASDAQ100
CRWD,NASDAQ100
ASML,NASDAQ100
GILD,NASDAQ100
APP,NASDAQ100
ISRG,NASDAQ100
HON,NASDAQ100
SHOP,NASDAQ100
BKNG,NASDAQ100
SBUX,NASDAQ100
VRTX,NASDAQ100
CDNS,NASDAQ100
FTNT,NASDAQ100
MAR,NASDAQ100
ADP,NASDAQ100
MNST,NASDAQ100
ADBE,NASDAQ100
CEG,NASDAQ100
CSX,NASDAQ100
CMCSA,NASDAQ100
SNPS,NASDAQ100
MDLZ,NASDAQ100
MELI,NASDAQ100
DDOG,NASDAQ100
INTU,NASDAQ100
MPWR,NASDAQ100
NXPI,NASDAQ100
ROST,NASDAQ100
ORLY,NASDAQ100
CTAS,NASDAQ100
AEP,NASDAQ100
WBD,NASDAQ100
DASH,NASDAQ100
LITE,NASDAQ100
REGN,NASDAQ100
BKR,NASDAQ100
PCAR,NASDAQ100
ABNB,NASDAQ100
PDD,NASDAQ100
FANG,NASDAQ100
FAST,NASDAQ100
EA,NASDAQ100
MCHP,NASDAQ100
ODFL,NASDAQ100
ARM,NASDAQ100
FER,NASDAQ100
XEL,NASDAQ100
EXC,NASDAQ100
ADSK,NASDAQ100
CCEP,NASDAQ100
IDXX,NASDAQ100
KDP,NASDAQ100
TTWO,NASDAQ100
ALNY,NASDAQ100
MSTR,NASDAQ100
PYPL,NASDAQ100
AXON,NASDAQ100
PAYX,NASDAQ100
TRI,NASDAQ100
ROP,NASDAQ100
CPRT,NASDAQ100
DXCM,NASDAQ100
GEHC,NASDAQ100
KHC,NASDAQ100
WDAY,NASDAQ100
CTSH,NASDAQ100
VRSK,NASDAQ100
INSM,NASDAQ100
ZS,NASDAQ100
CHTR,NASDAQ100
NVDA,SP500
AAPL,SP500
MSFT,SP500
AMZN,SP500
GOOGL,SP500
AVGO,SP500
